learning_seed,n_samples_per_state,template_seed,target_src,target_dst,target_feature,present_n_admissible_edges,absent_n_admissible_edges,baseline_safe_present,baseline_safe_absent,baseline_safe_present_minus_absent,safe_gain_present,safe_gain_absent,safe_gain_present_minus_absent,risky_drop_present,risky_drop_absent,risky_drop_present_minus_absent,present_H1,absent_H1,present_H2,absent_H2,present_H3,absent_H3,present_H4,absent_H4,present_pass_all,absent_pass_all,present_resistance_risky_terminal,absent_resistance_risky_terminal
0,600,2000,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,42,41,0.4361111111111111,0.4305555555555556,0.005555555555555536,0.19166666666666665,0.19166666666666665,0.0,0.2791666666666667,0.2875,-0.008333333333333304,True,True,True,True,True,True,True,True,True,True,0.0125,0.0125
0,600,2001,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.48333333333333334,0.45416666666666666,0.029166666666666674,0.14861111111111108,0.17083333333333334,-0.022222222222222254,0.2513888888888889,0.27361111111111114,-0.022222222222222254,True,True,True,True,False,True,True,True,False,True,0.005555555555555556,0.006944444444444444
0,600,2002,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,42,41,0.4708333333333333,0.4652777777777778,0.005555555555555536,0.16388888888888886,0.15416666666666667,0.009722222222222188,0.2736111111111111,0.2791666666666666,-0.005555555555555536,True,True,True,True,True,True,True,True,True,True,0.008333333333333333,0.008333333333333333
0,600,2003,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,44,43,0.5375,0.5069444444444444,0.030555555555555558,0.126388888888889,0.16527777777777786,-0.03888888888888886,0.2125,0.2486111111111111,-0.036111111111111094,True,True,True,True,False,True,True,True,False,True,0.006944444444444444,0.005555555555555556
0,600,2004,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.48194444444444445,0.4861111111111111,-0.004166666666666652,0.15277777777777785,0.14166666666666666,0.011111111111111183,0.16666666666666666,0.16805555555555554,-0.001388888888888884,True,True,True,True,True,False,True,True,True,False,0.004166666666666667,0.005555555555555556
0,600,2005,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,42,41,0.5486111111111112,0.5375,0.011111111111111183,0.11944444444444435,0.13055555555555554,-0.011111111111111183,0.21944444444444444,0.23055555555555557,-0.011111111111111127,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.001388888888888889
0,600,2006,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.47361111111111115,0.47638888888888886,-0.0027777777777777124,0.18611111111111106,0.17500000000000004,0.011111111111111016,0.2263888888888889,0.2263888888888889,0.0,True,True,True,True,True,True,True,True,True,True,0.004166666666666667,0.004166666666666667
0,600,2007,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.4513888888888889,0.4597222222222222,-0.008333333333333304,0.25972222222222213,0.24722222222222218,0.012499999999999956,0.35000000000000003,0.3402777777777778,0.009722222222222243,True,True,True,True,True,True,True,True,True,True,0.019444444444444445,0.020833333333333332
0,600,2008,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.5736111111111112,0.5652777777777778,0.008333333333333415,0.1347222222222222,0.1416666666666666,-0.00694444444444442,0.22361111111111112,0.23194444444444445,-0.008333333333333331,True,True,True,True,False,False,True,True,False,False,0.002777777777777778,0.002777777777777778
0,600,2009,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.4666666666666667,0.45833333333333337,0.008333333333333304,0.16666666666666663,0.17499999999999993,-0.008333333333333304,0.2666666666666667,0.27361111111111114,-0.00694444444444442,True,True,True,True,True,True,True,True,True,True,0.006944444444444444,0.006944444444444444
0,600,2010,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,44,43,0.5291666666666667,0.5388888888888889,-0.009722222222222188,0.11805555555555558,0.10416666666666663,0.01388888888888895,0.21944444444444444,0.21527777777777776,0.00416666666666668,True,True,True,True,False,False,True,True,False,False,0.006944444444444444,0.006944444444444444
0,600,2011,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,44,43,0.5388888888888889,0.5333333333333333,0.005555555555555536,0.11805555555555558,0.12638888888888888,-0.008333333333333304,0.2125,0.2222222222222222,-0.009722222222222215,True,True,True,True,False,False,True,True,False,False,0.006944444444444444,0.006944444444444444
