learning_seed,n_samples_per_state,variant_seed,n_admissible_edges,baseline_safe_or_boundary_rate,baseline_risky_terminal_rate
0,1200,1000,44,0.5083333333333333,0.24166666666666667
0,1200,1003,44,0.5083333333333333,0.24166666666666667
0,1200,1004,43,0.5111111111111111,0.25
0,1200,1006,44,0.49722222222222223,0.25
0,1200,1010,42,0.5194444444444444,0.24722222222222223
0,1200,1005,45,0.525,0.2361111111111111
